rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,quarter,
1,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,14,16,33855816,04/01/2024,1,
2,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,Xavi,La Diabla,Interscope Records,2,17,4,30894083,04/01/2024,1,
3,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,3,19,8,30778444,04/01/2024,1,
4,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,20,48,30224692,04/01/2024,1,
5,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,3,18,15,26430016,04/01/2024,1,
6,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,6,28,13,25102523,04/01/2024,1,
7,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,31,25,24932897,04/01/2024,1,
8,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,37,22,23007926,04/01/2024,1,
9,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,Xavi,La Víctima,Interscope Records,9,40,6,22586881,04/01/2024,1,
10,spotify:track:05WVKTdZhlIMX4qqMLuo0f,"Peso Pluma, Anitta",BELLAKEO,Double P Records,10,35,4,21934979,04/01/2024,1,
11,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,11,47,13,20766879,04/01/2024,1,
12,spotify:track:5aIVCx5tnk0ntmdiinnYvw,Tyla,Water,FAX Records/Epic,12,53,15,20253784,04/01/2024,1,
13,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,4,45,18,19944265,04/01/2024,1,
14,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,4,39,12,19940949,04/01/2024,1,
15,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,5,36,21,19637213,04/01/2024,1,
16,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,49,9,19208564,04/01/2024,1,
17,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,15,41,78,19178677,04/01/2024,1,
18,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,18,42,4,18756356,04/01/2024,1,
19,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,Street Mob Records,16,43,18,18213631,04/01/2024,1,
20,spotify:track:6CvTEtGagmzQvkUzzyKR9k,"Fuerza Regida, Marshmello",HARLEY QUINN,Rancho Humilde/Street Mob Records,11,46,10,17844095,04/01/2024,1,
21,spotify:track:6WzRpISELf3YglGAh7TXcG,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,16,68,31,17771360,04/01/2024,1,
22,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,1,44,15,17466144,04/01/2024,1,
23,spotify:track:1kuGVB7EU95pJObxwvfwKS,Olivia Rodrigo,vampire,Olivia Rodrigo PS,1,62,27,17456781,04/01/2024,1,
24,spotify:track:5PyDJG7SQRgWXefgexqIge,Doja Cat,Agora Hills,Kemosabe Records/RCA Records,16,56,15,17162746,04/01/2024,1,
25,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,77,92,16955059,04/01/2024,1,
26,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,57,170,16863102,04/01/2024,1,
27,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,73,56,15913839,04/01/2024,1,
28,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,5,111,32,15681385,04/01/2024,1,
29,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,Miserable Music Group,5,69,38,15455473,04/01/2024,1,
30,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,1,94,51,15413331,04/01/2024,1,
31,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,"Maluma, Carin Leon",Según Quién,Sony Music Latin,17,61,16,15371497,04/01/2024,1,
32,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,17,107,20,15135602,04/01/2024,1,
33,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,3,85,25,14529772,04/01/2024,1,
34,spotify:track:4MjDJD8cW7iVeWInc2Bdyj,Bad Bunny,MONACO,Rimas Entertainment LLC,1,74,12,14488258,04/01/2024,1,
35,spotify:track:4OMJGnvZfDvsePyCwRGO7X,Dua Lipa,Houdini,Warner Records,6,102,8,14430948,04/01/2024,1,
36,spotify:track:1udwFobQ1JoOdWPQrp2b6u,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),Dreamville/Interscope,36,76,7,14333722,04/01/2024,1,
37,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,103,214,14285189,04/01/2024,1,
38,spotify:track:2OWv3lRR8PtOVuHWzQNRs2,"Peso Pluma, Junior H, Oscar Maydon",ROMPE LA DOMPE,2023 Double P Records,38,-1,1,14120134,04/01/2024,1,
39,spotify:track:7ABLbnD53cQK00mhcaOUVG,Myke Towers,LALA,WEA Latina,1,78,27,13999105,04/01/2024,1,
40,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,127,71,13957010,04/01/2024,1,
41,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,20,106,19,13913315,04/01/2024,1,
42,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,3,82,14,13730828,04/01/2024,1,
43,spotify:track:7mXuWTczZNxG5EDcjFEuJR,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,Double P Records,9,79,28,13657300,04/01/2024,1,
44,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,36,89,63,13634229,04/01/2024,1,
45,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,32,98,54,13570396,04/01/2024,1,
46,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,12,91,99,13545527,04/01/2024,1,
47,spotify:track:0O3U5iwTbiXCREMkvotJuN,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,Grupo Frontera,47,88,22,13297023,04/01/2024,1,
48,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,11,95,21,13262472,04/01/2024,1,
49,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,9,100,29,13097971,04/01/2024,1,
50,spotify:track:1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,9,136,71,13000560,04/01/2024,1,
1,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,Xavi,La Diabla,Interscope Records,1,2,5,34195950,11/01/2024,1,
2,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,1,17,34059012,11/01/2024,1,
3,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,3,3,9,32055608,11/01/2024,1,
4,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,4,49,28511866,11/01/2024,1,
5,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,5,6,14,27400991,11/01/2024,1,
6,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,3,5,16,27354041,11/01/2024,1,
7,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,7,11,14,24788155,11/01/2024,1,
8,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,Xavi,La Víctima,Interscope Records,8,9,7,23066551,11/01/2024,1,
9,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,7,26,22294951,11/01/2024,1,
10,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,8,23,22034792,11/01/2024,1,
11,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,11,18,5,21652729,11/01/2024,1,
12,spotify:track:05WVKTdZhlIMX4qqMLuo0f,"Peso Pluma, Anitta",BELLAKEO,Double P Records,10,10,5,20997062,11/01/2024,1,
13,spotify:track:6WzRpISELf3YglGAh7TXcG,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,13,21,32,20428615,11/01/2024,1,
14,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,4,13,19,20024519,11/01/2024,1,
15,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,15,17,79,19970377,11/01/2024,1,
16,spotify:track:5aIVCx5tnk0ntmdiinnYvw,Tyla,Water,FAX Records/Epic,12,12,16,19677995,11/01/2024,1,
17,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,4,14,13,19476456,11/01/2024,1,
18,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,16,10,19381222,11/01/2024,1,
19,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,5,15,22,18450452,11/01/2024,1,
20,spotify:track:1kuGVB7EU95pJObxwvfwKS,Olivia Rodrigo,vampire,Olivia Rodrigo PS,1,23,28,18230348,11/01/2024,1,
21,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,Street Mob Records,16,19,19,17356851,11/01/2024,1,
22,spotify:track:5PyDJG7SQRgWXefgexqIge,Doja Cat,Agora Hills,Kemosabe Records/RCA Records,16,24,16,17152621,11/01/2024,1,
23,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,26,171,17100327,11/01/2024,1,
24,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,1,22,16,17002985,11/01/2024,1,
25,spotify:track:6CvTEtGagmzQvkUzzyKR9k,"Fuerza Regida, Marshmello",HARLEY QUINN,Rancho Humilde/Street Mob Records,11,20,11,16758491,11/01/2024,1,
26,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,3,33,26,16646305,11/01/2024,1,
27,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,27,57,16398834,11/01/2024,1,
28,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,25,93,15967765,11/01/2024,1,
29,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,Miserable Music Group,5,29,39,15821912,11/01/2024,1,
30,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,F-Stop Records/Atlantic,30,65,152,15744110,11/01/2024,1,
31,spotify:track:4OMJGnvZfDvsePyCwRGO7X,Dua Lipa,Houdini,Warner Records,6,35,9,15642294,11/01/2024,1,
32,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,32,57,9,15462408,11/01/2024,1,
33,spotify:track:4tKGFmENO69tZR9ahgZu48,Sophie Ellis-Bextor,Murder On The Dancefloor,Polydor Records,33,143,2,15428131,11/01/2024,1,
34,spotify:track:1udwFobQ1JoOdWPQrp2b6u,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),Dreamville/Interscope,34,36,8,14786989,11/01/2024,1,
35,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,"Maluma, Carin Leon",Según Quién,Sony Music Latin,17,31,17,14701296,11/01/2024,1,
36,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,20,41,20,14698793,11/01/2024,1,
37,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,17,32,21,14550323,11/01/2024,1,
38,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,1,30,52,14548483,11/01/2024,1,
39,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,36,44,64,14442070,11/01/2024,1,
40,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,12,46,100,14241827,11/01/2024,1,
41,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,5,28,33,14191744,11/01/2024,1,
42,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,32,45,55,14106335,11/01/2024,1,
43,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,3,42,15,13877871,11/01/2024,1,
44,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,19,51,176,13859103,11/01/2024,1,
45,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,37,215,13651163,11/01/2024,1,
46,spotify:track:7ABLbnD53cQK00mhcaOUVG,Myke Towers,LALA,WEA Latina,1,39,28,13507364,11/01/2024,1,
47,spotify:track:2Zo1PcszsT9WQ0ANntJbID,Sabrina Carpenter,Feather,Island Records,47,67,6,13391680,11/01/2024,1,
48,spotify:track:4MjDJD8cW7iVeWInc2Bdyj,Bad Bunny,MONACO,Rimas Entertainment LLC,1,34,13,13295708,11/01/2024,1,
49,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,11,48,22,13206831,11/01/2024,1,
50,spotify:track:2OWv3lRR8PtOVuHWzQNRs2,"Peso Pluma, Junior H, Oscar Maydon",ROMPE LA DOMPE,2023 Double P Records,38,38,2,13122143,11/01/2024,1,
1,spotify:track:7gaA3wERFkFkgivjwbSvkG,Ariana Grande,"yes, and?",Republic Records,1,-1,1,53885212,18/01/2024,1,
2,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,Xavi,La Diabla,Interscope Records,1,1,6,39408246,18/01/2024,1,
3,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,2,18,35975632,18/01/2024,1,
4,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,3,3,10,32562519,18/01/2024,1,
5,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,3,6,17,31046339,18/01/2024,1,
6,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,5,5,15,30622284,18/01/2024,1,
7,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,4,50,30027194,18/01/2024,1,
8,spotify:track:52eIcoLUM25zbQupAZYoFh,21 Savage,redrum,"Slaughter Gang, LLC/Epic Records",8,-1,1,27008214,18/01/2024,1,
9,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,7,7,15,26502009,18/01/2024,1,
10,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,Xavi,La Víctima,Interscope Records,8,8,8,26072908,18/01/2024,1,
11,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,11,11,6,25983678,18/01/2024,1,
12,spotify:track:6VciS3dRMpZhJiDxT8ArFi,"Bizarrap, Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58",DALE PLAY Records,12,-1,1,23958763,18/01/2024,1,
13,spotify:track:6XaJfhwof7qIgbbXO5tIQI,"Kali Uchis, Peso Pluma",Igual Que Un Ángel (with Peso Pluma),Geffen Records,13,-1,1,23799012,18/01/2024,1,
14,spotify:track:6WzRpISELf3YglGAh7TXcG,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,13,13,33,22626102,18/01/2024,1,
15,spotify:track:2yUzr8Sr6ldG8vmHhZwTnz,"21 Savage, Travis Scott, Metro Boomin",née-nah,"Slaughter Gang, LLC/Epic Records",15,-1,1,21526019,18/01/2024,1,
16,spotify:track:05WVKTdZhlIMX4qqMLuo0f,"Peso Pluma, Anitta",BELLAKEO,Double P Records,10,12,6,21525942,18/01/2024,1,
17,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,10,24,21176925,18/01/2024,1,
18,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,9,27,21020729,18/01/2024,1,
19,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,15,15,80,20640815,18/01/2024,1,
20,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,4,17,14,20517592,18/01/2024,1,
21,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,4,14,20,20508176,18/01/2024,1,
22,spotify:track:4tKGFmENO69tZR9ahgZu48,Sophie Ellis-Bextor,Murder On The Dancefloor,Polydor Records,22,33,3,20489008,18/01/2024,1,
23,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,5,19,23,18912743,18/01/2024,1,
24,spotify:track:1kuGVB7EU95pJObxwvfwKS,Olivia Rodrigo,vampire,Olivia Rodrigo PS,1,20,29,18587057,18/01/2024,1,
25,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,18,11,18435992,18/01/2024,1,
26,spotify:track:5aIVCx5tnk0ntmdiinnYvw,Tyla,Water,FAX Records/Epic,12,16,17,18411595,18/01/2024,1,
27,spotify:track:6x9pCndnXEoea0CMcfjs9W,"21 Savage, Doja Cat",n.h.i.e.,"Slaughter Gang, LLC/Epic Records",27,-1,1,18254295,18/01/2024,1,
28,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,Street Mob Records,16,21,20,18156122,18/01/2024,1,
29,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,29,32,10,18129046,18/01/2024,1,
30,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,23,172,17819784,18/01/2024,1,
31,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,3,26,27,17317122,18/01/2024,1,
32,spotify:track:4OMJGnvZfDvsePyCwRGO7X,Dua Lipa,Houdini,Warner Records,6,31,10,17046983,18/01/2024,1,
33,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,1,24,17,16969830,18/01/2024,1,
34,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,F-Stop Records/Atlantic,30,30,153,16836644,18/01/2024,1,
35,spotify:track:5PyDJG7SQRgWXefgexqIge,Doja Cat,Agora Hills,Kemosabe Records/RCA Records,16,22,17,16574276,18/01/2024,1,
36,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,36,39,65,16205981,18/01/2024,1,
37,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,Miserable Music Group,5,29,40,16186886,18/01/2024,1,
38,spotify:track:6CvTEtGagmzQvkUzzyKR9k,"Fuerza Regida, Marshmello",HARLEY QUINN,Rancho Humilde/Street Mob Records,11,25,12,16088908,18/01/2024,1,
39,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,28,94,15829608,18/01/2024,1,
40,spotify:track:1udwFobQ1JoOdWPQrp2b6u,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),Dreamville/Interscope,34,34,9,15499260,18/01/2024,1,
41,spotify:track:2FoahzOSxJnalPA8aBUme3,21 Savage,all of me,"Slaughter Gang, LLC/Epic Records",41,-1,1,15309025,18/01/2024,1,
42,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),OVO/Republic,28,52,14,15292189,18/01/2024,1,
43,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,17,37,22,15047600,18/01/2024,1,
44,spotify:track:2Zo1PcszsT9WQ0ANntJbID,Sabrina Carpenter,Feather,Island Records,44,47,7,14974660,18/01/2024,1,
45,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,20,36,21,14896290,18/01/2024,1,
46,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,27,58,14677950,18/01/2024,1,
47,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,"Maluma, Carin Leon",Según Quién,Sony Music Latin,17,35,18,14664162,18/01/2024,1,
48,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,5,41,34,14395329,18/01/2024,1,
49,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,12,40,101,14328385,18/01/2024,1,
50,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,15,60,43,14175225,18/01/2024,1,
1,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,Xavi,La Diabla,Interscope Records,1,2,7,39499314,25/01/2024,1,
2,spotify:track:7gaA3wERFkFkgivjwbSvkG,Ariana Grande,"yes, and?",Republic Records,1,1,2,37094143,25/01/2024,1,
3,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,3,19,35597443,25/01/2024,1,
4,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,3,4,11,34044101,25/01/2024,1,
5,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,5,6,16,31767835,25/01/2024,1,
6,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,3,5,18,31544921,25/01/2024,1,
7,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,7,51,29602318,25/01/2024,1,
8,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,7,9,16,28528162,25/01/2024,1,
9,spotify:track:52eIcoLUM25zbQupAZYoFh,21 Savage,redrum,"Slaughter Gang, LLC/Epic Records",8,8,2,28235790,25/01/2024,1,
10,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,10,11,7,28125311,25/01/2024,1,
11,spotify:track:6XaJfhwof7qIgbbXO5tIQI,"Kali Uchis, Peso Pluma",Igual Que Un Ángel (with Peso Pluma),Geffen Records,11,13,2,27913857,25/01/2024,1,
12,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,Xavi,La Víctima,Interscope Records,8,10,9,26422199,25/01/2024,1,
13,spotify:track:4tKGFmENO69tZR9ahgZu48,Sophie Ellis-Bextor,Murder On The Dancefloor,Polydor Records,13,22,4,24384615,25/01/2024,1,
14,spotify:track:6WzRpISELf3YglGAh7TXcG,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,13,14,34,23280818,25/01/2024,1,
15,spotify:track:6VciS3dRMpZhJiDxT8ArFi,"Bizarrap, Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58",DALE PLAY Records,12,12,2,23113402,25/01/2024,1,
16,spotify:track:05WVKTdZhlIMX4qqMLuo0f,"Peso Pluma, Anitta",BELLAKEO,Double P Records,10,16,7,21160685,25/01/2024,1,
17,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,17,29,11,20893621,25/01/2024,1,
18,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,15,19,81,20854454,25/01/2024,1,
19,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,4,20,15,20265439,25/01/2024,1,
20,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,4,21,21,20068313,25/01/2024,1,
21,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,17,25,20012670,25/01/2024,1,
22,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,18,28,19002385,25/01/2024,1,
